category,name,producer,url,price,barcode
Κάβα,ΑΝΑΨΥΚΤΙΚΟ ΦΙΑΛΗ 500 ML,COCA COLA,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Cola/ANAPsYKTIKO-FIALI-500-ML/p/7092447,"0,93",4140135
Κάβα,"ICE TEA GREEN ΦΙΑΛΗ 1,5 LT",LIPTON,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/ICE-TEA-GREEN-FIALI-1-5-LT/p/7091130,"2,26",4170358
Κάβα,"ΑΝΑΨΥΚΤΙΚΟ ΛΕΜΟΝΑΔΑ ΦΙΑΛΗ 1,5 LT",ΑΒ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Lemonada/ANAPsYKTIKO-LEMONADA-FIALI-1-5-LT/p/7140605,"0,99",4142606
Κάβα,ICE TEA ΣΕ ΣΚΟΝΗ ΡΟΔΑΚΙΝΟ 125 GR,LIPTON,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Ice-tea-Ice-coffee/ICE-TEA-SE-SKONI-RODAKINO-125-GR/p/7093029,"1,34",4170238
Κάβα,ΟΙΝΟΣ ΡΟΖΕ ΚΟΚΚΙΝΕΛΙ 1 LT,ΤΟ ΚΡΑΣΙ ΤΗΣ ΠΑΡΕΑΣ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Krasia-roze/OINOS-ROZE-KOKKINELI-1-LT/p/7091125,"2,62",4010014
Κάβα,"ΑΝΑΨΥΚΤΙΚΟ ΠΟΡΤΟΚΑΛΑΔΑ ΜΕ ΑΝΘΡΑΚΙΚΟ ΦΙΑΛΗ 1,5 LT",ΑΒ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Portokalada/ANAPsYKTIKO-PORTOKALADA-ME-ANThRAKIKO-FIALI-1-5-LT/p/7140622,"0,99",4142605
Κάβα,ΑΝΑΨΥΚΤΙΚΟ BΥΣΣΙΝΑΔΑ 232 ML,ΕΨΑ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Anapsyktika/Vyssinada-kai-alles-geyseis/ANAPsYKTIKO-BYSSINADA-232-ML/p/7285387,"0,67",4140097
Κάβα,ΦΥΣΙΚΟ ΜΕΤΑΛΛΙΚΟ ΝΕΡΟ SPORT MAX 750 ML,ΚΟΡΠΗ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Nera/Epitrapezio-Metalliko/FYSIKO-METALLIKO-NERO-SPORT-MAX-750-ML/p/7092187,"0,45",4120713
Κάβα,ΟΙΝΟΣ ΕΡΥΘΡΟΣ ΝΕΜΕΑ 750 ML,ΑΒ,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Erythra-krasia/OINOS-ERYThROS-NEMEA-750-ML/p/7091756,"5,99",4020418
Κάβα,ΣΑΜΠΑΝΙΑ IMPERIAL 750 ML,MOET & CHANDON,https://www.ab.gr/click2shop/Krasia-pota-anapsyktika-nera/Krasia/Sampanies/SAMPANIA-IMPERIAL-750-ML/p/7091093,"44,24",4030013
